Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
necesitar favor mayor presencia policial domingo pasado entrar robar 4 hombre espinoso 1775 conocer vecina dni llamar 911 llevar suerte hacer ahora hablar vecino enterar esquina remedio escalada espinoso espinoso 1715 robar hacer mes edificio peluquería esquina semana robar bicicleta barbero favor dar 1785 vivo sacar gente sentado vereda actitud terrible vecino espinoso 1775 mayor robar único celular turno médico q diabético favor;Necesitamos por favor mayor presencia policial, el domingo pasado entraron a robar 4 hombres a espinosa 1775, yo como conozco a la vecina con mi dni llame al 911, se llevaron de todo, por suerte no le hicieron nada, ahora hablando con los vecinos nos enteramos que en la esquina de remedios de escalada y espinosa será espinosa 1715 robaron hace un mes en el edificio y en la peluquería de la esquina en la semana le robaron la bicicleta al barbero, por favor no damos más, estoy en el 1785 y vivo sacando gente sentada en la vereda con una actitud terrible. Mi vecina de espinosa 1775 es mayor le robaron el único celular con el que tenía todos los turnos del médico q es diabética. por favor;Mayor presencia policial;Mayor presencia policial;00282197/23
favor podar sacar árbol q levantar todo vereda persona usar bicicleta gcba caer vereda levantado mucho gracias q podar nuevamente esquina q tapa visual noche boca lobo gracias;por favor podar o sacar el árbol ya q esta levantando toda la vereda y las personas que usan las bicicletas del gcba se caen con la vereda levantada, muchas gracias, también hay q podar nuevamente el de la esquina ya q tapa la visual y de noche es una boca de lobo , gracias;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00282186/23
cesto papelero roto caído vereda residuo desparramado acera público;Cesto papelero roto, caído en la vereda, residuos desparramados en la acera pública.;reparación cesto papelero;Reparación de cesto papelero;00052615/23
Parque Lineal Honorio Pueyrredón necesario instalación banco pues vecino sentar bloque cemento `` calle convivencia ' ' constituir inminente peligro circulación automóvil dirigir cochera edificio emplazado cuadra;Parque Lineal Honorio Pueyrredón; es necesario la instalación de bancos pues los vecinos se sientan sobre los bloques de cemento que están sobre la "calle de convivencia" constituyendo un inminente peligro ante la circulación de automóviles que se dirigen a las cocheras de los edificios emplazados en esas cuadras .;instalación banco mesa silla parque plaza;Instalación de bancos, mesas y sillas en parque/plaza;00077379/23
bolsa escombro;bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00081235/23
‘ escombro cuadra ';*‘Hay escombros en mi cuadra’*;retiro escombro resto obra;Retiro de escombros / restos de obra;00096157/23
' finalizar;'finalizar';retiro escombro resto obra;Retiro de escombros / restos de obra;00096906/23
‘ escombro cuadra ';*‘Hay escombros en mi cuadra’*;retiro escombro resto obra;Retiro de escombros / restos de obra;00195898/23
‘ escombro cuadra ';*‘Hay escombros en mi cuadra’*.;retiro escombro resto obra;Retiro de escombros / restos de obra;00210440/23
plazoleta lleno botella borracho parar tomar necesitar solo limpieza sino guardia pasar cosa;La plazoleta esta llena de botellas de borrachos que paran a tomar. Necesitamos no solo limpieza, sino guardia para que no pasen estas cosas;mejora barrer;Mejora de barrido;00199019/23
paso;paso;retiro escombro resto obra;Retiro de escombros / restos de obra;00353697/23
escombro cuadra;*Hay escombros en mi cuadra*;retiro escombro resto obra;Retiro de escombros / restos de obra;00353532/23
escombro cuadra;*Hay escombros en mi cuadra*;retiro escombro resto obra;Retiro de escombros / restos de obra;00353681/23
residuo domiciliario;Residuos domiciliarios;retiro escombro resto obra;Retiro de escombros / restos de obra;00342480/23
estar hacer calle Padilla verde instalado luminaria esquina 2 casa mio quedar cono sombra vereda;Estan haciendo la calle Padilla verde y ya han instalado luminarias en la esquina y a 2 casas de la mia, quedando en un cono de sombra mi vereda.;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00318174/23
pedir recolección escombro;se pide recolección de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00124615/23
Vecina solicitar retiro 12 bolsa escombro;Vecina solicita retiro de 12 bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00146208/23
vecina solicitar poda árbol dirección mencionado querer dejar asentado solicitar varios vez mismo solamente poder parte abajo requerir poda lado arriba rama invadir balcón Gracias;La vecina solicita la poda del árbol en la dirección antes mencionada, quiere dejar asentado que ya solicito varias veces la misma, pero solamente podan la parte de abajo y ella requiere lo poda del lado de arriba ya que las ramas invaden su balcón. Gracias.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00239337/23
vecina solicitar retiro escombro 12 bolsa;La vecina solicita retiro de escombros 12 bolsas;retiro escombro resto obra;Retiro de escombros / restos de obra;00279155/23
puerta vidrio metal marco escombro mismo;Puerta de vidrio y metal, su marco y escombros del mismo;retiro escombro resto obra;Retiro de escombros / restos de obra;00132219/23
vereda todo rota;Vereda toda rota;reparación veredo;Reparación de vereda;00071892/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00104851/23
estacionar vereda;Estacionar en la vereda;vehículo mal estacionado;Vehículo mal estacionado;00139110/23
estacionar continuamente vereda;Estacionar continuamente en la vereda;vehículo mal estacionado;Vehículo mal estacionado;00141916/23
puesto tomar espacio vereda ver foto;Este puesto toma mucho espacio de la vereda como se ve en las fotos;irregularidad puesto flor;Irregularidades en puesto de flores;00191144/23
estacionar vereda ocupar espacio peatonal;Estacionar vereda ocupando espacio peatonal;vehículo mal estacionado;Vehículo mal estacionado;00158168/23
estacionar vereda;Estacionar en la vereda;vehículo mal estacionado;Vehículo mal estacionado;00254649/23
Mal estacionado ocupar vereda foto chapa perfectamente identificado;Mal estacionado ! Ocupando vereda .  Está la foto y la chapa perfectamente identificada;vehículo mal estacionado;Vehículo mal estacionado;00200289/23
estacionar vereda;Estacionar vereda;vehículo mal estacionado;Vehículo mal estacionado;00226771/23
moto vivir estacionado vereda hacer varios denuncia ver ninguno infracción alguno motivo hacer acta respectivo;Este moto vive estacionada en la vereda ya le hice varias denuncias y por lo que veo no tiene ninguna infracción  . Por algún motivo no se le hacen las actas respectivas ?;vehículo mal estacionado;Vehículo mal estacionado;00267094/23
estacionar vereda;Estacionar en la vereda;vehículo mal estacionado;Vehículo mal estacionado;00266216/23
lunes auto estacionar lado izquierdo Boti decir prohibido imposible sacar él foto auto cuadra 2 colegio centro rehabilitación geriátrico pasar LINEA cole 102 . descontrol;Desde el lunes los autos estacionan de lado izquierdo cuando por Boti dice que está prohibido. Es imposible sacarles fotos a todos los autos . Es una cuadra que tiene 2 colegios y centro rehabilitación . geriátrico y pasa LINEA cole 102 .descontrol;vehículo mal estacionado;Vehículo mal estacionado;00338036/23
pedir arreglo semáforo peligroso cruzar agente transito;se pide el arreglo del semáforo  ya que es muy peligroso  cruzar , y no hay agentes de transito;reparación semáforo;Reparación de semáforo;00136687/23
frente deteriorar pintado grafitis puerta dañar ser edificio histórico;Frente fue deteriorado por pintada grafitis y puertas dañas siendo esto un edificio histórico;pintura grafitis;Pintura sobre grafitis;00133239/23
agradecer pintado frente durar 24 hs Q volver escribir q ver cámara hacer vandalismo;Se agradece la pintada del frente pero no duró 24 hs. Q la volvieron a escribir, se tendría q ver en las cámaras quienes hacer ese vandalismo.;pintura grafitis;Pintura sobre grafitis;00180199/23
Bolivar 843 gente romper todo basura deber sacar contenedor q 885 restaurante Brigada tirar carne comida tardecita imposible pasar gente q venir buscar beberiar tener él cuenta;En Bolivar 843, la gente rompe toda la basura deberían sacar los contenedores y el q esta 885 el Restaurante La Brigada tira la carne y comida de tardecita imposible pasar y la gente q viene a buscar beberian tenerlo en cuenta;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00361749/23
vecina solicitar poda árbol;La vecina solicita poda de árbol.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00041883/23
vecina solicitar reparación luminario apagado noche;la vecina solicita la reparación de una luminaria que esta apagada por las noches;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00224521/23
zona comercial necesitar presencia policial;Es zona comercial y se necesita presencia policial;Mayor presencia policial;Mayor presencia policial;00102202/23
gimnasio malo condición higiene general especialmente baño;Gimnasio con malas condiciones de higiene general y especialmente baños.;higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento sin venta o elaboración de alimentos;00176882/23
vidrio roto reemplazar hacer tiempo Cables electricos empalmado Mala ventilacion l8s salón Cucarachas;Hay vidrios rotos sin reemplazar hace tiempo. Cables electricos empalmados. Mala ventilacion de l8s salones. Cucarachas;irregularidad mantenimiento seguridad instalación establecimiento comercial;Irregularidades en el mantenimiento y seguridad de instalaciones en establecimientos comerciales;00176900/23
retiro bolsa escombro resto obra;Retiro de bolsas de escombros de resto de obras;retiro escombro resto obra;Retiro de escombros / restos de obra;00099143/23
6bolsa aprox;Hay 6bolsas aprox;retiro escombro resto obra;Retiro de escombros / restos de obra;00021903/23
necesitar retirar bolsa escombro;Necesito retirar bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00002826/23
solicitar saque bolsa;Ya solicite que saque las bolsas;retiro escombro resto obra;Retiro de escombros / restos de obra;00027898/23
rata cuadra;Hay ratas en la cuadra;criadero mosquito;Criaderos de mosquitos;00084437/23
bolsa escombro juntar bicho mosca;Hay bolsas de escombros que juntan bichos y moscas;retiro escombro resto obra;Retiro de escombros / restos de obra;00177189/23
bolsa escombro gente tirar basura retirar favor urgencia rata;Hay bolsas de escombros y la gente tira su basura. Retirar por favor con urgencia porque hay ratas;retiro escombro resto obra;Retiro de escombros / restos de obra;00205259/23
arbusto árbol desmadro crecimiento solo cantidad rama sino oscurecer entrada edificio;Hay un arbusto (no árbol que se desmadro su crecimiento, no solo por la cantidad de ramas sino como oscurece la entrada al edificio;extracción árbol;Extracción de árbol;00073389/23
10 bolsa escombro retirar;Hay 10 bolsas de escombros para retirar;retiro escombro resto obra;Retiro de escombros / restos de obra;00263260/23
puerta garaje ayer mañana llamar dos vez 911;Está en la puerta del garaje desde ayer a la mañana. Ya llame dos veces al 911;vehículo mal estacionado;Vehículo mal estacionado;00098328/23
vehiculo EMILIO CASTRO 5011 15 2 2023 puerta GARAGE puedo sacar auto;EL VEHICULO ESTA EN EMILIO CASTRO 5011. DESDE EL 15/2/2023  EN LA PUERTA DEL GARAGE Y NO PUEDO SACAR EL AUTO.;vehículo mal estacionado;Vehículo mal estacionado;00107430/23
auto estacionado 15 2 llame policia Hice denuncia fiscalia xq tú gustar foto borrar solicitud;Auto estacionado desde el 15/2 llame a la policia. Hice la denuncia en la fiscalia xq a ustedes no les gustan las fotos y borran la solicitud;vehículo mal estacionado;Vehículo mal estacionado;00107540/23
estacionar parada colectivo pesar solicitar hacer colectivo cuadra poder siquiera hacer él seña parar;Se estacionó e la parada del colectivo a pesar de que le solicité que no lo hiciera. El colectivo estaba a una cuadra y no podía siquiera hacerle seña para que parara.;vehículo mal estacionado;Vehículo mal estacionado;00184365/23
moto parada lugar mediado diciembre tapar acceso llave general gas edificio claro abandonado dado suciedad acumulado;Esta moto está parada en ese lugar desde mediados de diciembre y tapando el acceso a la llave general de gas del edificio. Está claro que está abandonada, dada la suciedad que tiene ya acumulada.;remoción vehículo abandonado;Remoción de vehículo abandonado;00159559/23
moto parada puerta edificio menos diciembre año pasado tapar llave general gas edificio nadie mover tiempo poder ver suciedad producto falta uso atención dirección correcto vallejos 2493 segundo vez hacer denuncia terminar sistema cambiar Artigas Artigas vallejos 2493 esquina Artigas 4500 Villa Pueyrredón;La moto está parada en la puerta del edificio, por lo menos, desde diciembre del año pasado. Está tapando la llave general del gas del edificio. Nadie la movió en este tiempo. Se puede ver la suciedad sobre ella producto de la falta de uso.  ATENCIÓN: la dirección correcta es VALLEJOS 2493. Ya es la segunda vez que hago la denuncia y, al terminar, el sistema la cambia por Artigas. NO es Artigas. Es     VALLEJOS 2493, esquina Artigas al 4500 en Villa Pueyrredón.;remoción vehículo abandonado;Remoción de vehículo abandonado;00256555/23
